batch_size,epochs,filename,i,loss_func,model_name,model_updates,mse,mse_input,noise,optimizer_name,seed,stoppage_early,total_time,train_loss
10000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_10.647498362111273.pth,119,MSELoss(),SHO_Fitter_original_data,555,0.1259370744228363,10.674018859863281,4,Adam,46,False,15.882346868515015,10.647498362111273
5000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_0.03686373057967608.pth,12,MSELoss(),SHO_Fitter_original_data,1110,0.03630635142326355,0.0,0,Adam,0,False,29.546770334243774,0.03686373057967608
500,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_16.510124678171618.pth,120,MSELoss(),SHO_Fitter_original_data,11060,0.2517082095146179,16.67750358581543,5,Adam,0,False,91.02758884429932,16.510124678171618
500,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_16.51393628248048.pth,121,MSELoss(),SHO_Fitter_original_data,11060,0.24282720685005188,16.67750358581543,5,Adam,41,False,91.12906765937805,16.51393628248048
500,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_16.511318396500968.pth,122,MSELoss(),SHO_Fitter_original_data,11060,0.25315383076667786,16.67750358581543,5,Adam,43,False,89.88012552261353,16.511318396500968
500,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_16.509570579665404.pth,123,MSELoss(),SHO_Fitter_original_data,11060,0.2522585690021515,16.67750358581543,5,Adam,44,False,90.20641207695007,16.509570579665404
500,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_16.51378837565857.pth,124,MSELoss(),SHO_Fitter_original_data,11060,0.24483799934387207,16.67750358581543,5,Adam,45,False,91.42841529846191,16.51378837565857
500,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_16.51502091999821.pth,125,MSELoss(),SHO_Fitter_original_data,11060,0.24274714291095734,16.67750358581543,5,Adam,46,False,90.0133466720581,16.51502091999821
1000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_16.517070397872615.pth,126,MSELoss(),SHO_Fitter_original_data,5530,0.2422470897436142,16.67750358581543,5,Adam,0,False,55.031530141830444,16.517070397872615
1000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_16.52097819145355.pth,127,MSELoss(),SHO_Fitter_original_data,5530,0.23318900167942047,16.67750358581543,5,Adam,41,False,54.584521770477295,16.52097819145355
1000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_16.518241572435254.pth,128,MSELoss(),SHO_Fitter_original_data,5530,0.24075965583324432,16.67750358581543,5,Adam,43,False,54.6036114692688,16.518241572435254
1000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_16.517084091142923.pth,129,MSELoss(),SHO_Fitter_original_data,5530,0.2400931715965271,16.67750358581543,5,Adam,44,False,55.04345631599426,16.517084091142923
5000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_0.037555700734056126.pth,13,MSELoss(),SHO_Fitter_original_data,1110,0.036548908799886703,0.0,0,Adam,41,False,29.490900993347168,0.037555700734056126
1000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_16.520581640441108.pth,130,MSELoss(),SHO_Fitter_original_data,5530,0.23590286076068878,16.67750358581543,5,Adam,45,False,55.193368911743164,16.520581640441108
1000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_16.522606192294646.pth,131,MSELoss(),SHO_Fitter_original_data,5530,0.2368074655532837,16.67750358581543,5,Adam,46,False,55.14998149871826,16.522606192294646
5000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_16.553258108458035.pth,132,MSELoss(),SHO_Fitter_original_data,1110,0.20500442385673523,16.67750358581543,5,Adam,0,False,29.44202756881714,16.553258108458035
5000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_16.554599435931003.pth,133,MSELoss(),SHO_Fitter_original_data,1110,0.20489586889743805,16.67750358581543,5,Adam,41,False,29.42797040939331,16.554599435931003
5000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_16.54855901678955.pth,134,MSELoss(),SHO_Fitter_original_data,1110,0.20860739052295685,16.67750358581543,5,Adam,43,False,29.539835691452026,16.54855901678955
5000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_16.54682620200846.pth,135,MSELoss(),SHO_Fitter_original_data,1110,0.20787419378757477,16.67750358581543,5,Adam,44,False,29.576719284057617,16.54682620200846
5000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_16.564970783337397.pth,136,MSELoss(),SHO_Fitter_original_data,1110,0.1998022198677063,16.67750358581543,5,Adam,45,False,29.481786727905273,16.564970783337397
5000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_16.575053627982182.pth,137,MSELoss(),SHO_Fitter_original_data,1110,0.19056549668312073,16.67750358581543,5,Adam,46,False,29.60297656059265,16.575053627982182
10000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_16.595081424409592.pth,138,MSELoss(),SHO_Fitter_original_data,555,0.1837676763534546,16.67750358581543,5,Adam,0,False,15.873170852661133,16.595081424409592
10000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_16.593583581210286.pth,139,MSELoss(),SHO_Fitter_original_data,555,0.18568885326385498,16.67750358581543,5,Adam,41,False,15.88778018951416,16.593583581210286
5000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_0.036433615836021664.pth,14,MSELoss(),SHO_Fitter_original_data,1110,0.03601151332259178,0.0,0,Adam,43,False,29.224069833755493,0.036433615836021664
10000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_16.577059040880865.pth,140,MSELoss(),SHO_Fitter_original_data,555,0.19333289563655853,16.67750358581543,5,Adam,43,False,15.864006757736206,16.577059040880865
10000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_16.579088570757044.pth,141,MSELoss(),SHO_Fitter_original_data,555,0.19619090855121613,16.67750358581543,5,Adam,44,False,15.91258192062378,16.579088570757044
